52,22
60,23
131,20
126,25
92,17
76,26
93,25
110,27
27,21
110,20
109,20
24,26
53,24
69,24
99,23
78,26
104,22
82,22
12,27
16,27
103,21
13,28
60,26
108,24
129,26
107,20
136,20
64,25
21,20
128,21
68,27
32,19
17,21
50,23
13,25
20,25
71,23
66,20
35,28
137,21
75,25
13,23
13,20
148,29
72,23
79,20
127,23
64,26
47,28
148,23
22,20
17,24
58,23
111,23
57,24
124,20
93,23
103,24
24,24
108,28
35,19
79,26
93,28
94,22
49,21
35,22
125,22
122,20
61,20
129,25
21,23
81,27
124,26
148,24
99,28
140,26
12,23
13,27
141,22
147,25
148,21
148,22
125,21
114,17
45,27
55,26
94,24
82,23
89,17
82,27
132,20
141,23
27,23
35,23
70,28
132,26
104,23
90,17
110,25
75,24
104,21
44,21
12,24
110,21
133,22
40,22
126,26
136,27
137,20
25,20
125,26
60,20
94,20
82,20
12,26
98,25
13,21
50,26
12,25
50,25
45,21
91,17
16,28
107,28
109,21
49,26
128,25
34,24
36,20
53,20
68,20
32,26
128,24
17,22
13,24
136,21
136,26
106,20
45,22
83,26
49,27
71,21
49,24
129,20
148,18
21,25
45,26
66,23
30,22
72,28
12,21
109,26
65,21
147,23
31,18
27,24
31,25
127,24
82,26
94,21
120,22
60,21
66,22
137,26
28,23
10,26
147,26
27,25
62,25
20,21
57,23
76,21
98,26
61,21
99,21
136,28
65,20
147,22
77,20
12,29
36,18
128,26
120,21
133,21
95,26
122,26
104,20
146,29
60,25
93,22
121,21
32,20
148,19
119,17
16,24
109,24
72,20
52,26
147,18
76,20
58,22
36,23
40,23
144,26
128,27
35,29
126,23
98,24
125,24
17,26
49,22
20,23
125,20
142,24
40,25
78,20
63,26
106,21
94,26
144,20
142,20
109,28
35,24
126,29
56,25
58,24
99,20
143,25
22,23
129,21
103,26
140,21
23,26
71,26
95,20
135,22
82,24
24,25
148,27
41,20
72,26
31,19
35,27
54,25
16,29
52,21
40,21
76,25
31,23
42,20
32,18
71,27
29,17
125,23
126,21
49,25
133,24
142,22
110,28
49,23
95,21
57,20
143,20
49,20
92,26
27,19
57,22
115,17
31,22
84,20
141,26
30,23
110,23
133,23
69,20
46,26
142,26
54,26
146,18
45,23
110,26
30,20
73,23
87,17
76,22
46,21
25,22
117,17
31,24
28,19
24,22
31,26
65,25
72,22
17,29
149,24
99,25
14,29
101,26
36,21
144,25
129,27
32,24
13,22
60,24
53,22
13,26
94,27
126,20
135,25
35,20
96,26
36,29
103,20
68,28
29,20
16,21
132,25
98,21
82,25
131,28
24,23
50,27
81,28
36,28
147,21
93,26
46,23
56,26
13,29
82,28
61,26
106,28
50,21
80,25
120,24
53,21
35,21
76,23
40,20
102,25
79,25
136,23
148,25
40,24
147,20
21,22
36,27
46,27
35,26
44,24
118,17
81,26
72,25
100,25
72,27
107,24
45,24
46,24
46,25
42,26
39,21
121,22
46,28
98,27
57,21
69,27
112,17
121,26
62,26
20,22
132,27
36,22
31,17
103,22
81,22
126,27
109,27
27,22
73,21
138,20
26,19
110,22
126,28
71,24
22,26
52,20
25,25
53,23
39,23
116,17
28,25
12,20
138,26
48,28
48,20
69,28
121,20
130,20
61,25
76,24
129,22
27,20
36,26
71,20
98,23
133,25
77,26
44,25
123,26
136,25
36,25
25,21
94,28
140,20
43,25
148,28
120,23
93,27
135,24
65,26
24,20
128,23
108,20
39,22
17,23
111,26
83,20
14,26
57,25
93,21
58,20
130,28
12,28
47,20
127,25
133,27
50,22
120,25
136,24
132,28
133,26
61,24
148,20
134,26
23,25
100,26
136,22
102,26
52,23
30,26
43,26
143,26
75,22
31,20
66,24
70,24
142,25
53,25
16,26
27,17
37,29
121,23
61,23
12,22
21,26
99,29
40,26
142,23
125,29
103,23
148,26
46,22
26,18
94,23
39,24
16,22
29,26
46,20
35,18
16,20
123,20
16,23
17,28
135,26
96,20
106,27
126,24
66,21
21,21
93,24
75,23
94,25
16,25
85,17
28,24
147,29
27,18
28,26
25,23
25,24
147,27
20,20
128,22
28,20
53,26
80,26
17,20
121,24
50,24
45,25
80,21
104,24
35,25
83,21
71,28
121,25
73,26
17,25
125,27
129,24
65,23
84,26
57,26
141,21
126,22
109,25
135,28
132,24
124,21
98,28
125,25
129,23
99,27
103,25
98,29
28,22
81,24
52,24
143,24
81,21
71,25
107,27
41,26
37,18
60,22
52,25
28,17
147,19
132,23
99,26
81,25
132,21
29,22
124,25
135,21
23,23
11,26
81,23
113,17
79,21
24,21
65,24
30,17
99,24
82,21
15,29
86,17
23,20
132,22
111,22
129,28
70,20
39,25
49,28
72,21
99,22
98,20
23,21
135,23
30,25
109,23
58,21
141,20
43,20
73,22
61,22
43,21
36,19
68,21
147,28
88,17
111,21
17,27
75,21
125,28
135,27
98,22
44,23
65,22
